Game,B,D,Momentum,G.R.
Scrabble,361.805,391.28,0.006538731,0.083
Duolingo (Winning Streak),19.575,141.25,0.009144791,0.031322934
Duolingo (Badge),28,141.25,0.010245367,0.037461965
Go,250,208,0.011528558,0.076
Shogi,80,115,0.016548609,0.078
DotA,68.6,106.2,0.017291188,0.078
Table Tennis,54.86,96.47,0.018028981,0.077
Basketball,36.38,82.01,0.01903259,0.073
Soccer,2.64,22,0.019163815,0.073
Chess,35,80,0.019300851,0.074
Badminton,46.34,79.34,0.020997681,0.086
Baghchal,242.3043,25.52174,0.093424709,0.075
Tic-tac-toe,9,9,0.106026945,0.064
Memrise,200000,16,0.331314375,0.053
